delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response_routine.started,text.started,textbox.started,button.started,response_routine.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.7,1000,exp,320,0,20,space,0.018596100000195293,None,999,1,[1.5348948999999266],[1.5349083000000974],20,0,320,11,1793.7257903999998,,1793.7105179999999,1793.7257903999998,1794.7247524,1794.7247524,1794.7247524,1794.7593109,space,0.018596100000195293,None,1794.7601906,1795.4583769666667,1795.7756227999998,1795.7555662,1795.7561809999997,1795.7756227999998,1795.7756227999998,1795.7756227999998,1797.3110042999997,999,1,[1.5348948999999266],[1.5349083000000974],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,321,1,20,space,0.2694341000001259,None,999,1,[2.4523332999997365],[2.4523435000000973],20,1,321,12,1797.3254613999998,,1797.3113641,1797.3254613999998,1798.3252862999998,1798.3252862999998,1798.3252862999998,1798.6090408999999,space,0.2694341000001259,None,1798.610455,1798.7081950666663,1799.0231933,1799.0057978999998,1799.0063806999997,1799.0231933,1799.0231933,1799.0231933,1801.4758855999999,999,1,[2.4523332999997365],[2.4523435000000973],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,400,unexp,322,2,20,space,0.10020120000035604,None,550,1,[2.860019100000045],[2.860034700000142],20,2,322,2,1801.4926898999997,,1801.4762941,1801.4926898999997,1802.4771990999998,1802.4771990999998,1802.4937415999998,1802.5781155,space,0.10020120000035604,None,1802.5793227999998,1803.2937073666665,1803.6155727999999,1803.5953885,1803.5959841999997,1803.6155727999999,1803.6155727999999,1803.6155727999999,1806.4761153999998,550,1,[2.860019100000045],[2.860034700000142],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,1000,exp,323,3,20,space,0.16297359999998662,None,999,1,[1.6969865000000937],[1.6969963000001371],20,3,323,13,1806.4916631,,1806.4766089,1806.4916631,1807.4913883999998,1807.4913883999998,1807.4913883999998,1807.6607678999999,space,0.16297359999998662,None,1807.6615646,1808.0749177666664,1808.3960822,1808.3761964,1808.3768476999999,1808.3960822,1808.3960822,1808.3960822,1810.0934867,999,1,[1.6969865000000937],[1.6969963000001371],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,1000,exp,324,4,20,space,0.16819680000025983,None,999,1,[1.7711491000000024],[1.771159699999771],20,4,324,5,1810.1092002999999,,1810.0937748000001,1810.1092002999999,1811.1088265999997,1811.1088265999997,1811.1088265999997,1811.2921557,space,0.16819680000025983,None,1811.2929356999998,1811.9917904666665,1812.3046968999997,1812.2864899,1812.2870158,1812.3046968999997,1812.3046968999997,1812.3046968999997,1814.0762288,999,1,[1.7711491000000024],[1.771159699999771],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,400,unexp,325,5,20,space,0.016683800000009796,None,660,1,[2.559663100000307],[2.5596740999999383],20,5,325,0,1814.0921103,,1814.0766626,1814.0921103,1815.0751801000001,1815.0751801000001,1815.0922372999999,1815.0928685999997,space,0.016683800000009796,None,1815.0940922999998,1815.2082924666668,1815.5329726999998,1815.513089,1815.5137350999998,1815.5329726999998,1815.5329726999998,1815.5329726999998,1818.0930261999997,660,1,[2.559663100000307],[2.5596740999999383],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,1000,exp,326,6,20,space,1.1915850000000319,None,999,1,[1.845748399999593],[1.8457720999999765],20,6,326,10,1818.1088841,,1818.0933181999999,1818.1088841,1819.0922037999999,1819.0922037999999,1819.1091596,1820.2921191,space,1.1915850000000319,None,1820.2928450999998,1820.6943672666664,1821.0148034,1820.9951769999998,1820.9957592,1821.0148034,1821.0148034,1821.0148034,1822.8609682000001,999,1,[1.845748399999593],[1.8457720999999765],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,327,7,20,space,0.19123869999975796,None,999,1,[2.0664271000000554],[2.0664449000000786],20,7,327,15,1822.8755419,,1822.8612724,1822.8755419,1823.8750888,1823.8750888,1823.8750888,1824.0779649,space,0.19123869999975796,None,1824.0788144999997,1824.1773517666663,1824.4930565999998,1824.4737772999997,1824.4743525999997,1824.4930565999998,1824.4930565999998,1824.4930565999998,1826.5599748999998,999,1,[2.0664271000000554],[2.0664449000000786],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.7,1000,exp,328,8,20,space,0.19187299999975949,None,999,1,[3.5463270000000193],[3.546340600000349],20,8,328,8,1826.5750945,,1826.5605605,1826.5750945,1827.5754238,1827.5754238,1827.5754238,1827.7782496999998,space,0.19187299999975949,None,1827.7791879000001,1828.4943834666667,1828.8130176999998,1828.7937551999999,1828.7943159000001,1828.8130176999998,1828.8130176999998,1828.8130176999998,1832.3597691999998,999,1,[3.5463270000000193],[3.546340600000349],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.1,1000,exp,329,9,20,space,0.12982229999988704,None,999,1,[1.5611914999999499],[1.561201600000004],20,9,329,6,1832.3751429999998,,1832.3601067,1832.3751429999998,1833.3582910999999,1833.3582910999999,1833.3752684,1833.4928783,space,0.12982229999988704,None,1833.4937712,1833.6087150666665,1833.9318580999998,1833.9120085,1833.9126016,1833.9318580999998,1833.9318580999998,1833.9318580999998,1835.4934565999997,999,1,[1.5611914999999499],[1.561201600000004],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,1000,exp,330,10,20,space,0.23822679999966567,None,999,1,[1.5070252000000437],[1.5070387000000665],20,10,330,7,1835.5096568,,1835.4937698999997,1835.5096568,1836.5092931999998,1836.5092931999998,1836.5256774,1836.7590231999998,space,0.23822679999966567,None,1836.759778,1837.1583756666666,1837.4707036,1837.4526882999999,1837.4531502999998,1837.4707036,1837.4707036,1837.4707036,1838.9782787999998,999,1,[1.5070252000000437],[1.5070387000000665],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,1000,exp,331,11,20,space,0.12945189999982176,None,999,1,[1.5335479999998824],[1.5335621999997784],20,11,331,4,1838.9918217,,1838.9785742,1838.9918217,1839.9939561,1839.9939561,1839.9939561,1840.1257234999998,space,0.12945189999982176,None,1840.126925,1840.5270579666665,1840.8433712,1840.8235777999998,1840.8242212999999,1840.8433712,1840.8433712,1840.8433712,1842.3775829,999,1,[1.5335479999998824],[1.5335621999997784],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
0.4,400,unexp,332,12,20,space,0.8871052000004056,None,550,1,[2.6937511999999515],[2.6937690999998267],20,12,332,1,1842.3923128000001,,1842.3780201,1842.3923128000001,1843.3918832999998,1843.3918832999998,1843.3918832999998,1844.2937711999998,space,0.8871052000004056,None,1844.2946487999998,1844.6937990666668,1845.0161893,1844.9975816,1844.9980394,1845.0161893,1845.0161893,1845.0161893,1847.7105321,550,1,[2.6937511999999515],[2.6937690999998267],192227,001,2025-11-04_22h01.40.694,intentional binding,,2025.1.1,60.126831538440044,2025-11-04 22h01.53.632843 +0530,
