trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,C,<<<<<,<,left,21,1,5,left,1,1.5206031999999823,None,5,1,21,0,45.22542900000002,,45.213297100000034,45.22542900000002,45.22542900000002,45.70896299999998,45.72580270000003,46.759705,left,1,1.5206031999999823,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,22,2,5,left,1,5.224791699999969,None,5,2,22,2,46.775726599999985,,46.76273889999999,46.775726599999985,46.775726599999985,47.25901679999998,47.275677400000006,52.009539200000006,left,1,5.224791699999969,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,23,3,5,right,1,1.9612766999999849,None,5,3,23,3,52.02554359999999,,52.0124854,52.02554359999999,52.02554359999999,52.509204899999986,52.52563309999999,53.99291779999999,right,1,1.9612766999999849,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,24,0,6,left,1,4.769444700000008,None,6,0,24,2,54.00914899999998,,53.9963401,54.00914899999998,54.00914899999998,54.49244629999998,54.509126400000014,58.7930154,left,1,4.769444700000008,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,25,1,6,left,1,1.749959600000011,None,6,1,25,0,58.808852,,58.79599539999998,58.808852,58.808852,59.29239210000003,59.3090694,60.57552350000003,left,1,1.749959600000011,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,26,2,6,left,0,2.2479392999999845,None,6,2,26,3,60.59212150000002,,60.57857580000001,60.59212150000002,60.59212150000002,61.075614599999994,61.09209450000003,62.84296979999999,left,0,2.2479392999999845,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,27,3,6,right,1,1.513575899999978,None,6,3,27,1,62.85907309999999,,62.846675000000005,62.85907309999999,62.85907309999999,63.35902540000001,63.35902540000001,64.37607129999998,right,1,1.513575899999978,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,28,0,7,left,1,1.2173240000000192,None,7,0,28,0,64.39267699999999,,64.37879989999999,64.39267699999999,64.39267699999999,64.87624829999999,64.8923552,65.62645459999999,left,1,1.2173240000000192,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,29,1,7,right,1,2.431491699999981,None,7,1,29,3,65.64222460000002,,65.62933959999998,65.64222460000002,65.64222460000002,66.12567100000001,66.14248100000003,68.0765055,right,1,2.431491699999981,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,30,2,7,right,1,1.0015498999999863,None,7,2,30,1,68.19782409999999,,68.18891710000003,68.19782409999999,68.19782409999999,68.5924412,68.70904680000001,69.20963019999999,right,1,1.0015498999999863,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
