trialno,Condition,Stimulus,Target,Correct_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,stimulus.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
1,C,<<<<<,<,left,73,1,18,left,1,1.1077068999999256,None,18,1,73,0,158.69249740000004,,158.67994600000003,158.69249740000004,158.69249740000004,159.19288769999997,159.19288769999997,159.81014729999998,left,1,1.1077068999999256,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,74,2,18,right,0,2.111132600000019,None,18,2,74,2,159.82618299999996,,159.81318449999998,159.82618299999996,159.82618299999996,160.30942610000005,160.32621650000004,161.9436526,right,0,2.111132600000019,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,75,3,18,right,1,1.9502533999999514,None,18,3,75,3,161.95945380000006,,161.94707380000006,161.95945380000006,161.95945380000006,162.44262750000001,162.4594609,163.92692419999997,right,1,1.9502533999999514,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,76,0,19,left,1,1.4873757999999953,None,19,0,76,0,163.94293780000004,,163.92977890000003,163.94293780000004,163.94293780000004,164.42619559999997,164.44374599999998,165.44343699999996,left,1,1.4873757999999953,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,77,1,19,right,1,0.850356500000089,None,19,1,77,3,165.45955540000006,,165.44630409999996,165.45955540000006,165.45955540000006,165.94324320000004,165.95945939999996,166.31063869999997,right,1,0.850356500000089,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,78,2,19,right,0,2.8211603999999397,None,19,2,78,2,166.32607260000003,,166.31408460000006,166.32607260000003,166.32607260000003,166.82637970000002,166.82637970000002,169.1602115,right,0,2.8211603999999397,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,79,3,19,right,1,1.1043269999998984,None,19,3,79,1,169.17638819999996,,169.16318270000005,169.17638819999996,169.17638819999996,169.6592215,169.67636190000002,170.29345930000005,right,1,1.1043269999998984,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,80,0,20,left,1,0.8798569000000498,None,20,0,80,0,170.30955590000002,,170.29648709999998,170.30955590000002,170.30955590000002,170.79287189999997,170.8093114,171.19335949999999,left,1,0.8798569000000498,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,81,1,20,left,1,3.1524535999999443,None,20,1,81,2,171.2094917,,171.19670309999998,171.2094917,171.2094917,171.69270620000003,171.7095165,174.37711340000004,left,1,3.1524535999999443,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,82,2,20,left,0,3.936148000000003,None,20,2,82,3,174.3930065,,174.3799839,174.3930065,174.3930065,174.8764488,174.89271260000004,178.34358939999998,left,0,3.936148000000003,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,83,3,20,right,1,1.096673399999986,None,20,3,83,1,178.35956860000005,,178.34652180000006,178.35956860000005,178.35956860000005,178.8596591,178.8596591,179.46021030000003,right,1,1.096673399999986,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,84,0,21,left,1,1.3671922999999424,None,21,0,84,0,179.47609330000006,,179.4634176,179.47609330000006,179.47609330000006,179.9595258,179.97648699999996,180.86033820000006,left,1,1.3671922999999424,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,85,1,21,right,1,1.075016699999992,None,21,1,85,1,180.87628820000003,,180.86321760000004,180.87628820000003,180.87628820000003,181.35959250000002,181.37626649999999,181.96018980000002,right,1,1.075016699999992,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,86,2,21,right,1,2.2685593999999583,None,21,2,86,3,181.97633360000003,,181.96308960000005,181.97633360000003,181.97633360000003,182.45961500000004,182.47644399999996,184.26045319999997,right,1,2.2685593999999583,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,87,3,21,left,1,4.453784900000073,None,21,3,87,2,184.27619740000006,,184.26393009999998,184.27619740000006,184.27619740000006,184.77639900000003,184.77639900000003,188.74369729999995,left,1,4.453784900000073,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,88,0,22,left,1,2.241455299999984,None,22,0,88,2,188.7596024,,188.74398349999996,188.7596024,188.7596024,189.2430526,189.25964830000004,191.01054830000004,left,1,2.241455299999984,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,89,1,22,left,1,1.144718199999943,None,22,1,89,0,191.02618390000004,,191.0134135,191.02618390000004,191.02618390000004,191.50988290000004,191.52661940000002,192.1770886,left,1,1.144718199999943,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,90,2,22,right,1,1.4508068000000094,None,22,2,90,1,192.1929154,,192.1799256,192.1929154,192.1929154,192.6763203,192.69325399999997,193.66066210000002,right,1,1.4508068000000094,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,91,3,22,right,1,2.7921390999999858,None,22,3,91,3,193.67622790000001,,193.6634773,193.67622790000001,193.67622790000001,194.17629440000002,194.17629440000002,196.47640719999998,right,1,2.7921390999999858,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,92,0,23,left,0,3.315251099999955,None,23,0,92,3,196.49228469999997,,196.47673809999998,196.49228469999997,196.49228469999997,196.9763413,196.99309020000004,199.81045890000001,left,0,3.315251099999955,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,93,1,23,left,1,2.3045565000001034,None,23,1,93,2,199.82599720000002,,199.81334540000006,199.82599720000002,199.82599720000002,200.30964850000004,200.32619319999998,202.14341500000006,left,1,2.3045565000001034,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,94,2,23,left,1,0.9892611000000215,None,23,2,94,0,202.15952009999995,,202.14703620000006,202.15952009999995,202.15952009999995,202.64671100000004,202.66146870000006,203.16087720000002,left,1,0.9892611000000215,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,95,3,23,right,1,1.3358259000000317,None,23,3,95,1,203.17682940000003,,203.16398759999998,203.17682940000003,203.17682940000003,203.660283,203.6766763,204.5253227,right,1,1.3358259000000317,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
4,I,<<><<,> ,right,96,0,24,right,1,2.1488806999999497,None,24,0,96,3,204.54145550000004,,204.52820679999996,204.54145550000004,204.54145550000004,205.02646529999998,205.04314930000004,206.69359820000005,right,1,2.1488806999999497,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
1,C,<<<<<,<,left,97,1,24,left,1,1.2438563999999133,None,24,1,97,0,206.70973499999997,,206.69713510000003,206.70973499999997,206.70973499999997,207.19326040000004,207.20995080000006,207.96083700000003,left,1,1.2438563999999133,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
2,C,>>>>>,> ,right,98,2,24,right,1,1.049375800000007,None,24,2,98,1,207.97624060000004,,207.96388559999997,207.97624060000004,207.97624060000004,208.476515,208.476515,209.02782229999997,right,1,1.049375800000007,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
3,I,>>><>,<,left,99,3,24,right,0,2.609135199999969,None,24,3,99,2,209.0428066,,209.0307135,209.0428066,209.0428066,209.54317799999995,209.54317799999995,211.66019590000002,right,0,2.609135199999969,None,par_2,001,2025-11-10_09h14.34.311,flankers_task_final,,2025.1.1,60.0606372193283,2025-11-10 09h14.53.602397 +0530,
