thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
110,0,110,[np.float64(0.2564814814814815)],[np.float64(-0.46574074074074073)],[1],[0],[0],[1.4666478999997707],[None],110,0,110,0,178.67676549999942,,5,178.66188390000025,178.67676549999942,178.67676549999942,0.01735880000069301,180.12863000000016,[np.float64(0.2564814814814815)],[np.float64(-0.46574074074074073)],[1],[0],[0],[1.4666478999997707],[None],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
111,0,111,[np.float64(0.4564814814814815)],[np.float64(-0.37037037037037035)],[1],[0],[0],[1.6432599999998274],['target'],111,0,111,0,180.1893100999996,,10,180.16844579999997,180.1893100999996,180.1893100999996,0.03962420000061684,181.8118098999994,[np.float64(0.4564814814814815)],[np.float64(-0.37037037037037035)],[1],[0],[0],[1.6432599999998274],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
112,0,112,[np.float64(-0.1787037037037037)],[np.float64(0.2953703703703704)],[1],[0],[0],[2.265288900000087],[None],112,0,112,0,181.8670450999998,,10,181.84825319999982,181.8670450999998,181.8670450999998,0.03622980000000098,184.11364520000006,[np.float64(-0.1787037037037037)],[np.float64(0.2953703703703704)],[1],[0],[0],[2.265288900000087],[None],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
113,0,113,[np.float64(0.35555555555555557)],[np.float64(-0.09166666666666666)],[1],[0],[0],[1.3436774000001606],[None],113,0,113,0,184.15014359999986,,5,184.13372329999947,184.15014359999986,184.15014359999986,0.019830399999591464,185.47751530000005,[np.float64(0.35555555555555557)],[np.float64(-0.09166666666666666)],[1],[0],[0],[1.3436774000001606],[None],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
114,0,114,[np.float64(-0.1398148148148148)],[np.float64(0.06574074074074074)],[1],[0],[0],[1.2957548000003953],['target'],114,0,114,0,185.5159861000002,,5,185.4995285999994,185.5159861000002,185.5159861000002,0.021798499999931664,186.79538219999995,[np.float64(-0.1398148148148148)],[np.float64(0.06574074074074074)],[1],[0],[0],[1.2957548000003953],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
115,0,115,[np.float64(-0.044444444444444446)],[np.float64(-0.13518518518518519)],[1],[0],[0],[4.832863200000247],['target'],115,0,115,0,186.8472657000002,,10,186.8279609000001,186.8472657000002,186.8472657000002,0.03239020000000892,191.66089899999952,[np.float64(-0.044444444444444446)],[np.float64(-0.13518518518518519)],[1],[0],[0],[4.832863200000247],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
116,0,116,[np.float64(-0.487962962962963)],[np.float64(-0.1527777777777778)],[1],[0],[0],[1.7153292000002693],['target'],116,0,116,0,191.72214689999964,,10,191.70110529999965,191.72214689999964,191.72214689999964,0.039998799999921175,193.4165406000002,[np.float64(-0.487962962962963)],[np.float64(-0.1527777777777778)],[1],[0],[0],[1.7153292000002693],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
117,0,117,[np.float64(-0.29444444444444445)],[np.float64(-0.47685185185185186)],[1],[0],[0],[2.1623368999999],['target'],117,0,117,0,193.4691533999994,,10,193.44970379999995,193.4691533999994,193.4691533999994,0.03294270000060351,195.61214629999995,[np.float64(-0.29444444444444445)],[np.float64(-0.47685185185185186)],[1],[0],[0],[2.1623368999999],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
118,0,118,[np.float64(0.002777777777777778)],[np.float64(-0.2222222222222222)],[1],[0],[0],[1.4604188000002978],['target'],118,0,118,0,195.65203819999988,,5,195.63529909999943,195.65203819999988,195.65203819999988,0.022943599999962316,197.09583049999947,[np.float64(0.002777777777777778)],[np.float64(-0.2222222222222222)],[1],[0],[0],[1.4604188000002978],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
119,0,119,[np.float64(-0.3712962962962963)],[np.float64(0.4685185185185185)],[1],[0],[0],[1.8229836000000432],[None],119,0,119,0,197.15755919999992,,10,197.13881390000006,197.15755919999992,197.15755919999992,0.04281870000068011,198.96190209999986,[np.float64(-0.3712962962962963)],[np.float64(0.4685185185185185)],[1],[0],[0],[1.8229836000000432],[None],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
120,0,120,[np.float64(-0.21574074074074073)],[np.float64(0.08055555555555556)],[1],[0],[0],[1.0321477999996205],['target'],120,0,120,0,198.99429210000017,,5,198.97936570000002,198.99429210000017,198.99429210000017,0.017244099999516038,200.01160139999956,[np.float64(-0.21574074074074073)],[np.float64(0.08055555555555556)],[1],[0],[0],[1.0321477999996205],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
121,0,121,[np.float64(0.19722222222222222)],[np.float64(0.34629629629629627)],[1],[0],[0],[1.2810686000002534],[None],121,0,121,0,200.04395099999965,,5,200.0297985999996,200.04395099999965,200.04395099999965,0.018037599999843223,201.31098079999992,[np.float64(0.19722222222222222)],[np.float64(0.34629629629629627)],[1],[0],[0],[1.2810686000002534],[None],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
122,0,122,[np.float64(0.5083333333333333)],[np.float64(-0.037037037037037035)],[1],[0],[0],[2.0646428000000014],[None],122,0,122,0,201.37069679999968,,10,201.34681629999977,201.37069679999968,201.37069679999968,0.03557120000004943,203.4115498000001,[np.float64(0.5083333333333333)],[np.float64(-0.037037037037037035)],[1],[0],[0],[2.0646428000000014],[None],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
123,0,123,[np.float64(-0.41388888888888886)],[np.float64(0.26296296296296295)],[1],[0],[0],[2.2813835999995717],['target'],123,0,123,0,203.46701179999945,,10,203.44822459999978,203.46701179999945,203.46701179999945,0.036468600000262086,205.72971179999968,[np.float64(-0.41388888888888886)],[np.float64(0.26296296296296295)],[1],[0],[0],[2.2813835999995717],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
124,0,124,[np.float64(0.3509259259259259)],[np.float64(-0.20462962962962963)],[1],[0],[0],[1.7978791999994428],['target'],124,0,124,0,205.78783759999988,,10,205.7653548999997,205.78783759999988,205.78783759999988,0.0354312999998001,207.56332440000006,[np.float64(0.3509259259259259)],[np.float64(-0.20462962962962963)],[1],[0],[0],[1.7978791999994428],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
125,0,125,[np.float64(0.04814814814814815)],[np.float64(0.024074074074074074)],[1],[0],[0],[1.1815126999999848],['target'],125,0,125,0,207.59415499999977,,5,207.58003569999983,207.59415499999977,207.59415499999977,0.016463699999803794,208.76165109999965,[np.float64(0.04814814814814815)],[np.float64(0.024074074074074074)],[1],[0],[0],[1.1815126999999848],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
126,0,126,[np.float64(0.046296296296296294)],[np.float64(-0.27314814814814814)],[1],[0],[0],[1.8495795999997426],['target'],126,0,126,0,208.79238470000018,,5,208.7785856999999,208.79238470000018,208.79238470000018,0.01675969999996596,210.62825479999992,[np.float64(0.046296296296296294)],[np.float64(-0.27314814814814814)],[1],[0],[0],[1.8495795999997426],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
127,0,127,[np.float64(0.39166666666666666)],[np.float64(0.4388888888888889)],[1],[0],[0],[1.5127961999996842],['target'],127,0,127,0,210.68444029999955,,10,210.66550689999985,210.68444029999955,210.68444029999955,0.03707419999955164,212.17840780000006,[np.float64(0.39166666666666666)],[np.float64(0.4388888888888889)],[1],[0],[0],[1.5127961999996842],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
128,0,128,[np.float64(-0.4685185185185185)],[np.float64(0.33796296296296297)],[1],[0],[0],[1.4134650999994847],['target'],128,0,128,0,212.23546110000007,,10,212.2154228999998,212.23546110000007,212.23546110000007,0.036801199999899836,213.6289829999996,[np.float64(-0.4685185185185185)],[np.float64(0.33796296296296297)],[1],[0],[0],[1.4134650999994847],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
129,0,129,[np.float64(0.15185185185185185)],[np.float64(-0.23981481481481481)],[1],[0],[0],[1.599884999999631],['target'],129,0,129,0,213.66013569999996,,5,213.64611960000002,213.66013569999996,213.66013569999996,0.016897900000003574,215.24611240000013,[np.float64(0.15185185185185185)],[np.float64(-0.23981481481481481)],[1],[0],[0],[1.599884999999631],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
130,0,130,[np.float64(0.22037037037037038)],[np.float64(0.016666666666666666)],[1],[0],[0],[1.0806208999993032],['target'],130,0,130,0,215.27938829999948,,5,215.26438140000027,215.27938829999948,215.27938829999948,0.01810029999978724,216.34510169999976,[np.float64(0.22037037037037038)],[np.float64(0.016666666666666666)],[1],[0],[0],[1.0806208999993032],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
131,0,131,[np.float64(0.13240740740740742)],[np.float64(0.08148148148148149)],[1],[0],[0],[0.948335600000064],['target'],131,0,131,0,216.3777086,,5,216.3632560999995,216.3777086,216.3777086,0.017988700000387325,217.3116970000001,[np.float64(0.13240740740740742)],[np.float64(0.08148148148148149)],[1],[0],[0],[0.948335600000064],['target'],par_3_final,001,2025-09-30_12h05.25.509,visual search,,2025.1.1,60.05255799878076,2025-09-30 12h05.37.520543 +0530,
